N,Triton,Torch,Naive Softmax
256.000000,324.221260,350.125099,89.908244
384.000000,350.848626,373.367006,91.457047
512.000000,363.475153,384.130390,93.644508
640.000000,372.206511,380.880245,94.491434
768.000000,374.642014,384.198126,95.585356
896.000000,380.844705,387.748277,96.148499
1024.000000,384.950090,390.669256,97.197486
1152.000000,382.401158,217.040369,97.432124
1280.000000,385.366302,233.775204,98.058061
1408.000000,363.793041,257.404091,98.413751
1536.000000,389.110136,278.441611,98.886231
1664.000000,389.300782,287.622962,99.102812
1792.000000,391.539032,304.877670,99.355388
1920.000000,391.711824,320.184783,99.352750
2048.000000,393.462493,335.042068,99.724485
2176.000000,379.650255,338.933063,99.583479
2304.000000,381.908543,351.074575,99.867352
2432.000000,361.226411,364.508348,99.937529
2560.000000,385.488296,371.925858,100.239056
2688.000000,386.344794,374.137814,100.198406
2816.000000,387.541489,382.753123,100.450005
2944.000000,389.198156,388.295813,100.483513
3072.000000,389.244659,392.002044,100.632405
3200.000000,390.547528,395.366806,100.548680
3328.000000,391.305864,364.605037,100.703640
3456.000000,391.451832,400.978557,100.793191
3584.000000,391.651610,402.443725,100.889423
3712.000000,391.718579,404.139033,100.628526
3840.000000,392.718336,403.390313,100.978642
3968.000000,392.524978,402.084245,100.998379
4096.000000,391.813368,400.457724,101.161821
4224.000000,395.362903,362.010709,101.126973
4352.000000,395.857386,391.875183,101.279445
4480.000000,396.544545,382.408306,101.229059
4608.000000,396.297452,393.509123,101.406893
4736.000000,396.950947,393.434655,101.380685
4864.000000,396.183452,398.636900,101.430139
4992.000000,397.269100,399.547314,92.945893
5120.000000,396.561788,402.717745,101.500164
5248.000000,397.430748,402.592156,101.486950
5376.000000,397.442166,405.568067,101.589151
5504.000000,397.897251,403.852881,101.526207
5632.000000,397.187912,400.947252,101.649142
5760.000000,398.101476,400.879324,93.025693
5888.000000,397.560401,400.587043,101.683755
6016.000000,397.820084,400.619411,101.624120
6144.000000,398.310734,400.544652,101.730718
6272.000000,398.598697,400.505415,101.660143
6400.000000,397.636134,399.920845,101.716288
6528.000000,397.845857,400.010606,94.347428
6656.000000,397.970317,400.586685,101.810020
6784.000000,398.107152,400.343655,101.801730
6912.000000,397.842116,400.683644,101.817576
7040.000000,398.727023,401.032468,101.825875
7168.000000,398.422071,400.932582,101.919370
7296.000000,398.253414,363.178851,101.833358
7424.000000,397.789312,400.726479,101.727777
7552.000000,398.509753,400.728487,101.877520
7680.000000,398.389942,400.831016,101.961965
7808.000000,398.097051,400.634090,101.940353
7936.000000,398.753610,400.218851,94.342500
8064.000000,398.816449,400.360810,101.968609
8192.000000,398.482026,400.902398,102.102659
8320.000000,392.769553,399.813288,101.915453
8448.000000,392.761461,399.228379,101.979800
8576.000000,393.447276,399.594758,92.572237
8704.000000,393.815182,400.312666,102.012064
8832.000000,393.741465,400.525870,101.990705
8960.000000,393.265380,400.552573,102.020313
9088.000000,394.139776,399.938942,101.985869
9216.000000,393.866914,400.519400,93.963564
9344.000000,393.717672,400.560929,102.040232
9472.000000,394.450207,400.397582,102.074631
9600.000000,394.952644,400.842524,102.116314
9728.000000,394.920390,401.071501,102.156285
9856.000000,394.528790,361.569494,102.056419
9984.000000,394.306570,400.812851,102.215756
10112.000000,394.761014,400.232141,102.088491
10240.000000,394.659850,400.994008,102.254402
10368.000000,394.816089,401.098520,102.028727
10496.000000,359.589498,401.057513,102.191603
10624.000000,395.256639,401.428123,102.089624
10752.000000,394.443739,401.092183,102.197357
10880.000000,395.407093,401.533679,102.142573
11008.000000,395.112825,401.112697,94.068620
11136.000000,394.744891,401.592517,102.120419
11264.000000,394.902020,401.242302,102.235673
11392.000000,394.959148,401.034089,102.164492
11520.000000,394.794094,401.646326,102.276987
11648.000000,359.312122,401.572772,102.214279
11776.000000,394.910467,402.116675,102.267355
11904.000000,393.909034,402.163375,102.197389
12032.000000,394.920516,402.310588,102.330101
12160.000000,395.063455,364.050725,102.305891
12288.000000,393.738158,394.797666,102.292969
12416.000000,394.576931,358.813620,102.184722
12544.000000,394.158845,357.972131,102.278319
12672.000000,393.766532,350.867388,93.627131
